size,latency,mode,scenario,wall_s,bytes,verify
small,0ms,rsync,cold,0.174,2112574,OK
small,0ms,rsync-z,cold,0.161,269837,OK
small,0ms,tar,cold,0.146,2396160,OK
small,0ms,tar-gz,cold,0.107,401143,OK
small,0ms,tar-zstd,cold,0.109,250798,OK
small,0ms,tar-inc,cold,0.141,2447360,OK
small,0ms,scp-r,cold,0.288,,OK+target
small,0ms,rsync,noop,0.150,9315,OK
small,0ms,rsync,change,0.148,10008,OK
small,0ms,rsync-z,noop,0.145,9315,OK
small,0ms,rsync-z,change,0.149,9775,OK
small,0ms,tar,noop,0.158,2396160,OK
small,0ms,tar,change,0.158,2396160,STALE
small,0ms,tar-gz,noop,0.108,401143,OK
small,0ms,tar-gz,change,0.110,401197,STALE
small,0ms,tar-zstd,noop,0.113,250798,OK
small,0ms,tar-zstd,change,0.111,250899,STALE
small,0ms,tar-inc,noop,0.100,92160,OK
small,0ms,tar-inc,change,0.102,102400,OK
small,50ms,rsync,cold,0.855,2112674,OK
small,50ms,rsync-z,cold,0.837,269845,OK
small,50ms,tar,cold,0.560,2396160,OK
small,50ms,tar-gz,cold,0.563,401143,OK
small,50ms,tar-zstd,cold,0.607,250798,OK
small,50ms,tar-inc,cold,0.653,2447360,OK
small,50ms,scp-r,cold,80.483,,OK+target
small,50ms,rsync,noop,0.752,9315,OK
small,50ms,rsync,change,0.827,10008,OK
small,50ms,rsync-z,noop,0.755,9315,OK
small,50ms,rsync-z,change,1.276,9779,OK
small,50ms,tar,noop,0.561,2396160,OK
small,50ms,tar,change,0.563,2396160,STALE
small,50ms,tar-gz,noop,0.516,401143,OK
small,50ms,tar-gz,change,0.669,401192,STALE
small,50ms,tar-zstd,noop,0.515,250798,OK
small,50ms,tar-zstd,change,0.514,250908,STALE
small,50ms,tar-inc,noop,0.695,92160,OK
small,50ms,tar-inc,change,0.505,102400,OK
small,100ms,rsync,cold,1.611,2112662,OK
small,100ms,rsync-z,cold,1.520,269841,OK
small,100ms,tar,cold,1.061,2396160,OK
small,100ms,tar-gz,cold,0.961,401143,OK
small,100ms,tar-zstd,cold,0.960,250798,OK
small,100ms,tar-inc,cold,1.188,2447360,OK
small,100ms,scp-r,cold,176.245,,OK+target
small,100ms,rsync,noop,1.682,9315,OK
small,100ms,rsync,change,1.703,10008,OK
small,100ms,rsync-z,noop,1.409,9315,OK
small,100ms,rsync-z,change,2.318,9779,OK
small,100ms,tar,noop,1.058,2396160,OK
small,100ms,tar,change,1.644,2396160,STALE
small,100ms,tar-gz,noop,0.966,401143,OK
small,100ms,tar-gz,change,1.233,401194,STALE
small,100ms,tar-zstd,noop,0.962,250798,OK
small,100ms,tar-zstd,change,1.153,250902,STALE
small,100ms,tar-inc,noop,0.953,92160,OK
small,100ms,tar-inc,change,1.202,102400,OK
medium,0ms,rsync,cold,4.113,57297721,OK
medium,0ms,rsync-z,cold,0.454,10529287,OK
medium,0ms,tar,cold,0.501,60938240,OK
medium,0ms,tar-gz,cold,1.061,13857253,OK
medium,0ms,tar-zstd,cold,0.819,11971513,OK
medium,0ms,tar-inc,cold,0.588,61491200,OK
medium,0ms,rsync,noop,0.189,124715,OK
medium,0ms,rsync,change,0.195,125394,OK
medium,0ms,rsync-z,noop,0.192,124715,OK
medium,0ms,rsync-z,change,0.515,125161,OK
medium,0ms,tar,noop,3.255,60938240,OK
medium,0ms,tar,change,1.692,60938240,STALE
medium,0ms,tar-gz,noop,1.667,13857253,OK
medium,0ms,tar-gz,change,0.980,13857335,STALE
medium,0ms,tar-zstd,noop,3.065,11971513,OK
medium,0ms,tar-zstd,change,2.100,11971893,STALE
medium,0ms,tar-inc,noop,0.482,1085440,OK
medium,0ms,tar-inc,change,0.133,1095680,OK
medium,50ms,rsync,cold,21.899,57297757,OK
medium,50ms,rsync-z,cold,31.898,10529531,OK
medium,50ms,tar,cold,2.222,60938240,OK
medium,50ms,tar-gz,cold,1.875,13857253,OK
medium,50ms,tar-zstd,cold,0.810,11971513,OK
medium,50ms,tar-inc,cold,3.178,61491200,OK
medium,50ms,rsync,noop,1.046,124715,OK
medium,50ms,rsync,change,2.090,125394,OK
medium,50ms,rsync-z,noop,1.102,124715,OK
